review_id,customer_id,product_id,rating,review_date
1,1692,302,4,2025-06-16
2,711,135,4,2026-02-08
3,830,763,5,2023-10-06
4,192,665,5,2024-03-31
5,1949,252,4,2025-03-26
6,1533,11,4,2024-11-11
7,476,598,5,2026-01-30
8,1432,678,4,2025-05-08
9,1490,576,4,2025-10-18
10,338,930,5,2026-03-10
11,427,971,3,2023-12-17
12,793,148,1,2023-08-12
13,459,556,4,2025-11-28
14,788,454,2,2025-11-23
15,56,745,5,2025-11-14
16,278,846,2,2026-02-09
17,313,986,3,2024-09-23
18,292,79,5,2024-05-28
19,225,390,4,2025-02-18
20,826,854,4,2025-04-13
21,783,349,4,2023-11-17
22,931,141,4,2024-10-23
23,1017,867,2,2023-11-26
24,1816,1000,5,2025-01-28
25,1901,685,4,2024-10-20
26,1262,689,5,2024-02-05
27,179,376,4,2025-11-16
28,347,364,5,2025-05-30
29,173,310,5,2023-06-07
30,889,837,1,2026-01-06
31,1193,584,4,2023-10-06
32,991,745,4,2024-08-01
33,464,721,5,2026-04-30
34,1333,604,4,2025-12-13
35,278,655,4,2026-01-17
36,1029,799,3,2024-05-13
37,61,200,4,2024-04-22
38,1091,405,5,2025-11-19
39,537,162,5,2025-10-31
40,868,841,5,2024-05-27
41,844,980,5,2024-02-22
42,1268,29,5,2025-10-05
43,1961,700,5,2023-06-19
44,292,991,5,2025-02-09
45,1800,77,5,2023-12-18
46,227,872,4,2024-07-29
47,565,518,4,2024-02-16
48,1797,585,2,2023-07-14
49,1947,692,5,2025-11-08
50,474,21,5,2026-01-20
51,222,22,5,2025-02-20
52,269,857,2,2023-12-27
53,1068,422,5,2025-10-18
54,1733,65,5,2026-04-23
55,11,943,1,2024-01-24
56,501,780,3,2025-11-16
57,859,50,5,2024-11-02
58,265,563,4,2023-07-13
59,1798,278,4,2024-06-04
60,1492,392,4,2024-08-29
61,692,966,5,2025-06-03
62,677,995,4,2023-08-09
63,723,199,4,2024-04-15
64,1,861,1,2024-06-12
65,1126,792,4,2024-02-15
66,1212,896,4,2023-11-18
67,1127,678,4,2024-04-23
68,1282,36,2,2026-03-05
69,731,553,5,2025-02-10
70,802,955,4,2025-10-23
71,366,268,5,2025-03-06
72,202,527,4,2025-05-19
73,1403,780,4,2023-09-15
74,1307,932,4,2025-05-24
75,82,783,5,2024-08-18
76,581,815,2,2025-12-02
77,3,284,5,2025-09-13
78,920,947,4,2025-06-30
79,1954,798,3,2024-09-28
80,1206,202,4,2024-03-25
81,437,837,3,2024-02-10
82,105,294,5,2026-02-08
83,78,470,4,2024-03-28
84,690,601,5,2025-10-28
85,1786,37,4,2024-07-22
86,258,916,3,2026-05-03
87,857,173,5,2025-07-11
